Accession,3-hydroxypropyl,3-methylsulfinylpropyl,Unknown Alkenyl,(S)2-hydroxy-but-3-enyl,(R)2-hydroxy-but-3-enyl,4-methylsulfinylbutyl,Allyl,5-methylsulfinylpentyl,But-3-enyl,3-methylthiopropyl,7-methylsulfinylheptyl,Pent-4-enyl ,4-methylthiobutyl ,8-methylsulfinyloctyl ,Indol-3-ylmethyl ,4-methoxy-indol-3-ylmethyl ,N-methoxy-indol-3-ylmethyl ,7-methylthioheptyl ,8-methylthiooctyl ,Total C3 Aliphatic ,Total C4 Aliphatic,Total C5 Aliphatic,Total C7 Aliphatic,Total C8 Aliphatic,Total C3 and C4 Aliphatic,Total C7 and C8 Aliphatic ,Total Alkenyl Aliphatic,Total Methylsulfinyl Aliphatic,Total Hydroxyalkyl Aliphatic,Total Hydroxyalkenyl Aliphatic ,Ratio of C3 to SC Aliphatic,Ratio of C7 to LC Aliphatic,Ratio of C3 methylthio to total C3,Ratio of C4 methylthio to total C4,Ratio of C7 methylthio to total C7,Ratio of C8 methylthio to total C8,Total Indolic Glucosinolate,Total Indolic Glucosinolate with 4 hydroxylation,Ratio of TOH4 to TIND,Ratio of NMOI3M to TIND,4-hydroxybutyl (2007),5-methylthiopentyl (2007),4-hydroxy-indol-3-ylmethyl (2008)
Ag-0,0.055541647,0.041489934,0.19150674,1.849090252,6.052038941,0,1.428426018,0,4.325792444,0,0.075914315,0.597616503,0,0.854403242,1.32707279,0.215101839,0.053242257,0.1251094,0.6140157,1.525457599,12.22692164,0.028928421,0.201023716,1.468418942,13.75237924,1.669442658,13.8468544,0.971807491,0.055541647,7.901129194,0.112106053,0.127564339,0,0,0.633777809,0.418473464,1.595416886,0.215101839,0.143360701,0.167465538,0,0.057856841,0
An-1,0.058452536,0,0.039380821,1.570741588,5.157423684,0,1.364194024,0,1.237902517,0,0.243157646,0.01584814,0.013077409,1.509285873,1.21479119,0.244238746,0.021388058,0.151228321,0.42202936,1.42264656,7.979145198,0,0.394385968,1.931315233,9.401791758,2.325701201,9.369642634,1.752443519,0.058452536,6.728165272,0.151717535,0.184455974,0,0.421052805,0.384730572,0.212350245,1.480417994,0.244238746,0.165211676,0.200705628,0,0,0
Bay-0,5.908360085,0.08698731,0,0,0,0,0.032356885,0.029607597,0,0.043585166,0.040933205,0,0.015529417,1.359272375,0.448300532,0.395609197,0.037343292,0.075647367,0.549487427,6.071289445,0.015529417,0.029607597,0.116580572,1.908759803,6.086818862,2.025340375,0.032356885,1.516800488,5.908360085,0,0.997538411,0.059573297,0.006942926,0.342289813,0.589235634,0.284769702,0.889646281,0.404002456,0.453696355,0.283740718,0,0,0.016786519
Bil-5,0,0,0,0,0,0,11.33200687,0,0.041556509,0.075807871,0.021225265,0,0,1.36579243,0.758448718,0.619431946,0.025701119,0.058949308,0.837973902,11.40781474,0.041556509,0.066005316,0.080174573,2.203766331,11.44937125,2.283940904,11.37356337,1.387017695,0,0,0.996056216,0.032472582,0.007236595,0,0.832052658,0.381025782,1.415113363,0.630963526,0.451769165,0.210932229,0,0.132010632,0.023063161
Bil-7,0,0,0,0,0,0,11.63594258,0,0.01859888,0.033853363,0.044190162,0,0,1.523289083,0.701199034,0.552778534,0.026033344,0.060323617,0.795896133,11.66979595,0.01859888,0.078230881,0.104513779,2.319185216,11.68839483,2.423698995,11.65454146,1.567479246,0,0,0.998540618,0.043982093,0.00318397,0,0.571263719,0.341521886,1.296917165,0.569684788,0.437262515,0.244336095,0,0.156461763,0.033812506
Bor-1,7.483805756,0.065450189,0,0,0,0,0,0,0.064460333,0,0,0,0,0.731257858,0.626219531,0.257914548,0.030677826,0.01069714,0.519979494,7.549255946,0.064460333,0.080900227,0.01069714,1.251237351,7.613716279,1.261934491,0.064460333,0.796708047,7.483805756,0,0.992122756,0.009065634,0,0,1,0.415769302,0.914811906,0.257914548,0.291049471,0.300139437,0,0.161800453,0
Bor-4,6.157102161,0,0,0,0,0,0,0,0,0,0,0,0,0.840433753,0.801642251,0.23658582,0.005899736,0,0.439800736,6.157102161,0,0.042328116,0,1.280234489,6.157102161,1.280234489,0,0.840433753,6.157102161,0,1,0,0,0,0,0.366457807,1.044127807,0.23658582,0.226490191,0.157399093,0,0.084656231,0
Br-0,0.047272764,0.020936321,0.059555011,1.386010862,4.491586356,0,0.802964953,0.022969547,3.942129805,0,0.080940836,0.060725199,0,1.159290068,1.445788644,0.228676158,0.00843587,0.110526201,0.534965805,0.871174038,9.819727024,0.079952824,0.191467037,1.694255873,10.69090106,1.88572291,10.68224699,1.284136772,0.047272764,5.877597219,0.082131295,0.11408346,0,0,0.576024624,0.317970162,1.682900672,0.228676158,0.132831366,0.098724187,0,0.113966554,0
Bur-0,0,0,0,0.882424631,2.812811801,0,5.176882988,0,9.08965714,0,0.273227109,0.179742963,0,2.404249848,1.023635786,0.235035141,0.035715608,0.122572896,0.480766275,5.176882988,12.78489357,0.020390644,0.395800005,2.885016123,17.96177656,3.280816128,17.96177656,2.677476957,0,3.695236432,0.288156559,0.128192056,0,0,0.310041462,0.165385757,1.294386536,0.235035141,0.181459391,0.17041466,0,0.040781287,0
C24,0.153678607,0.200297651,0.016393644,0.024440227,0.131956109,0,0.876175421,0,8.911261128,0.800816815,0.389745498,0.407374467,0,3.417772925,0.422676948,0.369410091,0.028222949,0.400815747,1.311499679,2.030968494,9.067657464,0,0.790561245,4.729272603,11.09862596,5.519833848,9.96022653,4.007816073,0.153678607,0.156396337,0.182396011,0.155087101,0.391575131,0,0.504956468,0.276390103,0.857955582,0.407055685,0.477539493,0.220975475,0,0,0.075291188
CIBC-17,0.010194791,0,0,0,0,0,9.624326782,0.028518152,0,0,0.011589544,0,0,1.440891671,1.273884603,0.179866939,0.045986872,0.046898938,0.508824451,9.634521573,0,0.028518152,0.058488482,1.949716122,9.634521573,2.008204604,9.624326782,1.480999367,0.010194791,0,1,0.024882057,0,0,0.400924562,0.253498706,1.499738414,0.179866939,0.119867222,0.252586837,0,0,0
